"候选写法","提及评论数","涉及视频数","涉及城市","涉及区县或县级市","有效推荐语境数","戏谑或比较语境数","负面语境数","仅提及语境数","语义判定依据","最高点赞数","召回方式","召回级别","证据BV号","证据评论ID","证据摘录","处理建议"
"甜肉包子","2","1","无锡市","无锡市","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","27","门店后缀／推荐／店名句式","B-存在明确推荐","BV1w1Q7YoEvz","257567974032","我去过无锡，我觉得无锡的甜肉包子挺好吃的，每天两个，一周哐哐胖了一公斤[笑哭]。我同学觉得我不可思议","优先平台检索"
"王兴记小笼","2","2","无锡市","无锡市","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","11","门店后缀","B-存在明确推荐","BV1Nj41177WC","197580389920","无锡那个王兴记小笼包真的好好吃","优先平台检索"
"锡来缘","2","1","无锡市","无锡市","1","0","0","1","明确到店或菜品推荐；只有店名提及，缺少推荐语义","1","词典命中","A-词典命中","BV1e314YJEFA","245803863568","我推荐一个沁扬路“柒拾陆号人家”都是现炒菜，算是老店了我经常和同事去吃，“弄堂口”好久没有去吃了不知道初心有没有变，年轻一点的餐饮店而且真材实料做的可以去稻香路的“锡来缘”看看。最后，离三凤桥、南长街、南禅寺远一点[吃瓜]","进入实体精筛表"
"熙盛源的开洋馄饨","2","2","无锡市","无锡市","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257275263072","我觉得熙盛源的开洋馄饨好吃","优先平台检索"
"笑来喜的小笼","2","2","无锡市","无锡市","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","2","门店后缀","B-存在明确推荐","BV1cURwYnEum","272322872513","回复：知音，笑来喜的小笼馒头最好吃。","优先平台检索"
"扬州菜包子","2","2","无锡市","无锡市","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","1","门店后缀","B-存在明确推荐","BV1Nj41177WC","195539922752","扬州还甜啊，那叫鲜吧，我觉得扬州菜包子特别好吃","优先平台检索"
"炸鸡","2","1","","","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","11","门店后缀","B-存在明确推荐","BV1Ur421V7ZD","216932968256","我就住在文化宫附近，这家炸鸡味道确实不错，但是感觉自助还是适合饭量真的无敌的人，我平常这家吃个20多左右的炸鸡就基本撑了，而且我是男的饭量也不算少[笑哭]","优先平台检索"
"只有小笼","2","2","无锡市","无锡市","1","0","0","1","明确正向用餐体验；只有店名提及，缺少推荐语义","3","门店后缀","B-存在明确推荐","BV1Z9NJ6vEPS","305642562641","无锡只有小笼馒头最正宗","优先平台检索"
"180到200左右还算","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1Vb421Y7Mb","218628753552","我吃过四五次了，以前闲鱼有券50一位，超级划算，现在没有了，前几天去吃，羊排没了，只有羊蹄和大骨，如果能两个人在！180到200左右还算值得去，如果算上锅底超过250可以换一家寿喜烧或者其他店了","优先平台检索"
"200块","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","308939192144","老实说，盘子不大，但确实吃不了，200块确实不错，肉份量挺足的[笑哭][笑哭][笑哭]","优先平台检索"
"5还没你们无锡包子","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","135721248560","不贵啊，石家庄国大36524也是2.5还没你们无锡包子好吃。","优先平台检索"
"emmm开始吃其实真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195600203232","没去过无锡[笑哭]去苏州和南京的时候，也没正经吃过当地的菜，印象深刻的就是跷脚牛肉，南京烤鸭，还有蟹黄拌面。记得我姐很喜欢喝小圆子。忘了叫啥，甜的，好像还撒了桂花。还有糖藕。去杭州的时候，倒是吃了新白鹿的杭帮菜。emmm开始吃其实真的很好吃…","优先平台检索"
"emmm真没有啥记忆点的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","3","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245621466977","hhhh 我之前关注了盗月社，然后去武汉出差还特意打车40块钱去吃他们说的那条街去找牛杂吃。结果，emmm真没有啥记忆点的好吃，就如你说的顺路可以去，没非必要去。所以后来我一般就不太信美食博主的推荐了，至少也不会那么期待","优先平台检索"
"hin","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134118732944","我蛮喜欢甜口菜的呀，hin好吃啊，西红柿鸡蛋我家会放糖哎","优先平台检索"
"mpx小笼包真的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196129166528","mpx小笼包真的好吃","优先平台检索"
"PUNCH美式烤肉自助的","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","25","推荐／店名句式","B-存在明确推荐","BV1WrK56AEKj","309623727872","可惜了，其实可以试试那家PUNCH美式烤肉自助的，太神了，无锡吃过最夯的，就是现在预约太难了[汤圆]","优先平台检索"
"punch那家真的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","294765754049","punch那家真的好吃[笑哭]，离开了无锡吃不到了，真的好想念！！","优先平台检索"
"啊啊啊啊看着好","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196694282816","啊啊啊啊看着好好吃，我要吃这个！","优先平台检索"
"艾米尔馄饨比祝琴","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","204778017520","艾米尔馄饨比祝琴好吃的太多了","优先平台检索"
"爱吃豆腐的肉眼可见的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245829896544","爱吃豆腐的肉眼可见的好吃","优先平台检索"
"八宝饭那么","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","203336479152","回复：八宝饭那么好吃。。。。我能全吃完。。。[委屈][委屈][委屈]","优先平台检索"
"把清蒸大黄鱼做","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197787390224","回复：事实上本来就是 包括牛羊肉在内 大部分优质的食材没有什么异味 完全可以简单烹调 随园食单一类食谱也都忌讳重料 火锅 重料也的确是用来抵御负面因素的 现在人的舌头也的确被调料惯坏了 但反过来说 把清蒸大黄鱼做好吃是本事 把拖鞋做好吃更是…","优先平台检索"
"把拖鞋做","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","197787390224","回复：事实上本来就是 包括牛羊肉在内 大部分优质的食材没有什么异味 完全可以简单烹调 随园食单一类食谱也都忌讳重料 火锅 重料也的确是用来抵御负面因素的 现在人的舌头也的确被调料惯坏了 但反过来说 把清蒸大黄鱼做好吃是本事 把拖鞋做好吃更是…","优先平台检索"
"掰开流糖浆的才","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195562984592","[呲牙]这些甜的菜应该搭配着吃吧，专吃一个估计谁也受不了。再说很多地方也吃甜啊，老重庆人喜欢的糖包子，里面就是纯猪油白糖馅，掰开流糖浆的才好吃，有的还加花生。老年人喜欢吃红糖锅盔，也是纯红糖猪油馅，掰开流出来烫嘴的。另外凉面也要放糖，一定是…","优先平台检索"
"白馒头蛮","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","265342144065","回复：白馒头蛮好吃个！特别那层表皮特别香","优先平台检索"
"百叶包还是湖州的更","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245713552481","百叶包应该换成酿面筋，更有特色一点，百叶包还是湖州的更好吃。 突然想到，湖州是不是有点变态，好吃的全是捆绑系的，千张包、粽子、鸭腿[滑稽]","优先平台检索"
"摆摊小菜场挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1vieoz9Eb9","274215904416","摆摊小菜场挺好吃","优先平台检索"
"拜求","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245599530321","回复：拜求推荐好吃的餐厅，我血糖高吃不了本地菜[doge_金箍]","优先平台检索"
"拌的比汤的","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1otyHYuE1S","245288476592","实名羡慕up这溢出屏幕的才华[点赞][点赞][点赞]，YYDS！快来一键三连吧[热词系列_优雅] 一、作者在无锡吃到的美食，包括玉兰饼、鸡子大饼和炸酱面等。作者表达了对这些美食的喜爱和怀念之情。 00:01 - 作者想念无锡的玉兰饼和鸡子大…","优先平台检索"
"拌的更","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286436361121","感觉拌的更好吃","优先平台检索"
"拌馄饨拌面超级","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","208886209376","拌馄饨拌面超级好吃的……","优先平台检索"
"拌馄饨比较","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257075751248","小笼包不大好吃，拌馄饨比较好吃","优先平台检索"
"拌馄饨确实","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","288128889520","无锡小笼一般人还真吃不惯 我一直去无锡的。我个人都觉得甜的过了 吃两三个可以多了真不行。拌馄饨确实好吃 一定要加辣[吃瓜] 跟钟水饺口味差不多 就是少点麻","优先平台检索"
"拌馄饨也","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134915048496","无锡的甜是咸甜，很鲜的那种。不是很腻的【那种大哭】强烈推荐玉兰饼超级超级超级好吃！虽然油比较大但就是很好吃！拌馄饨也好吃荠菜馅甜酱油真的很绝！","优先平台检索"
"拌馄饨真","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","304499695665","我在无锡上大学，那个拌馄饨真好吃，但是小笼包介绍不了[笑哭][笑哭][笑哭][笑哭]","优先平台检索"
"拌面不加糖怎么会","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195596400848","拌面不加糖怎么会好吃[傲娇][doge]","优先平台检索"
"拌面不应该加醋加辣椒才","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196021063040","拌面不应该加醋加辣椒才好吃[笑哭]","优先平台检索"
"拌面超级","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130184832784","拌面超级好吃","优先平台检索"
"拌面加糖可","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245565547601","拌面加糖可好吃了","优先平台检索"
"拌面老","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130213931888","曹张新村有个苍蝇小馆 拌面老好吃了 他们还有猪脚汤的","优先平台检索"
"拌面要糖醋的","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130433861168","拌面要糖醋的好吃，不过油放的很多，最好来点茶水解腻","优先平台检索"
"榜感觉是个笑话","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","1","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","249377138528","就凭这个视频，必须当铁粉，Up全是真话，老牛窝里上必吃榜感觉是个笑话","优先平台检索"
"榜基本上都是劣等网红店","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245467831473","推荐榜基本上都是劣等网红店好吃点的基本上都是比较偏的不在市中心","优先平台检索"
"榜里的","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245417034481","十一刚去的无锡，差点儿就去这家了，他家可是点评上无锡必吃榜里的。后来看酒店门口锡香记人气好足就去那儿了，也算是避雷了吧[思考]","优先平台检索"
"榜是这样的","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245689762336","必吃榜是这样的","优先平台检索"
"包括淮扬菜也没什么","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305718530817","人在南京，这片基本就没什么能吃的本地菜，包括淮扬菜也没什么好吃的，不过江西菜东北菜湘菜粤菜什么的饭店也有不少，倒是不至于饿死","优先平台检索"
"包子就不正宗","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","135689325824","在江南叫包子就不正宗，改吧，肉馒头","优先平台检索"
"包子确实带点甜口","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","134130507168","包子确实带点甜口好吃的，别有一番风味","优先平台检索"
"包子馅搭配上甜口应该很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","257149926192","感觉包子馅搭配上甜口应该很好吃","优先平台检索"
"包子最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","373","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132607003520","说下我一个无锡人的穷讲究， 包子最好吃的是要面上能看见一点点里面的汤汁渗出来的，一般无锡这么大的包子都是边皮薄一边皮厚，你从渗出来的地方一口咬下去，吸满汁水的外皮比内馅都好吃。一般无锡最甜的馅是菜猪油（吃一个能让你腻到），然后是芝麻馅（甜度…","优先平台检索"
"薄薄一层还蛮","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195620599344","回复：糖霜花生，是糖炒到反沙时裹的，薄薄一层还蛮好吃的，就是楼主的图片里糖确实看起来很震撼😂","优先平台检索"
"薄皮的蘸醋很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195587156464","我也东北人，我还挺爱吃甜口包子，就是甜和肉味，薄皮的蘸醋很好吃。不过无锡确实有点甜度爆表，南京汤包和两广的叉烧包刚刚好。","优先平台检索"
"鲍鱼和翅中真的很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1axj26fED7","303844171921","回复：三凤桥从小吃到大啊，那个鲍鱼和翅中真的很好吃啊，糕也挺好吃的，王兴记童年加持啊，二院那边的小时候眼睛散光经常去医院，每次去都会吃，这两个我都挺喜欢的","优先平台检索"
"爆鱼最","1","1","","","1","0","0","0","明确正向用餐体验","4","推荐／店名句式","B-存在明确推荐","BV1Pc411o7wG","192644530624","爆鱼最好吃的是在菜场里，可以去盛岸菜场里买，便宜量大正宗 这家店的物价在无锡真的算低了，平时小聚完全不心疼，菜的口味倒是一般般，对的起性价比","优先平台检索"
"北栅口那家齐齐哈尔烤肉","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1F8Nu6GEo3","309300186224","北栅口那家齐齐哈尔烤肉好吃，比这家强多了","优先平台检索"
"贝拉厨房","1","1","无锡市","无锡市","1","0","0","0","明确到店或菜品推荐","0","词典命中／推荐／店名句式","A-词典命中","BV1GgXNBiESt","296870595296","回复：其他的就不是很了解了喜欢牛排可以去贝拉厨房","进入实体精筛表"
"本帮面","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","13","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245667149504","赞同的，无锡本帮面好吃的，甜鲜","优先平台检索"
"本广东人从小到大吃过最","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","297076376608","无锡的园园包子店，巨推荐，本广东人从小到大吃过最好吃的包子[doge][星星眼]","优先平台检索"
"本人喜欢菜猪油包子","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","门店后缀／推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132580640096","本人喜欢菜猪油包子好吃","优先平台检索"
"比滨寿司","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","294314658561","我觉得比滨寿司好吃（在不排队的情况下）我最推荐的是鱼籽寿司 他家鱼籽有味很好吃","优先平台检索"
"比朝阳门口的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV19XZDYQE4L","258788511521","朝阳后面穆桂英有菜猪油春卷，比朝阳门口的好吃","优先平台检索"
"比陈克明面条","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1CwQ6YsEim","257936152592","这种面条是真的好吃，比陈克明面条好吃多了[笑哭]，不知道买不买得到","优先平台检索"
"比传统的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","6","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132731162928","回复：玉兰饼有个非常规做法的，糊涂生煎的我推荐，我觉得比传统的好吃","优先平台检索"
"比豆沙芝麻什么的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286236593921","肉馅梅花糕、肉馅汤圆、鲜肉月饼真的都很好吃，比豆沙芝麻什么的好吃多了[OK]","优先平台检索"
"比福乐","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","288237179584","回复：熙盛源个人推荐，比福乐好吃[doge]","优先平台检索"
"比狗不理","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132595705376","回复：实测。比狗不理好吃的多","优先平台检索"
"比杭州","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","198623728368","我是隔壁嘉兴的。就我的口味，我觉得无锡苏州菜最好吃，比杭州好吃多了。杭州很多红烧的菜，居然都不放糖！","优先平台检索"
"比鸿运","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","136113124128","这个比鸿运好吃[喜极而泣]外面的皮好点","优先平台检索"
"比毛毛家更","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130622896656","毛毛附近还有一家海棠糕，推着小推车卖的，比毛毛家更好吃","优先平台检索"
"比面筋塞肉","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130178744736","我们这边阳春面也是五元，分红汤和白汤，然后加各种浇头，面筋球我喜欢放火锅里烫一下蘸上佐料，比面筋塞肉好吃，坐标常州[doge]","优先平台检索"
"比那些生命在外的要","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256353993841","胜利门福乐馄饨，比那些生命在外的要好吃太多。","优先平台检索"
"比南翔小笼","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","3","门店后缀／推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","239698676848","喜欢甜口的无锡小笼，比南翔小笼好吃太多了。经常跑丰庄那边的熙盛源吃一笼热的带一盒生的，不甜不爱[打call]","优先平台检索"
"比普通豆腐花入味","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","209495267680","回复：我想起来了，小时候在同学家做客，下午就有叫卖的，我还记得豆腐花卖家放在了热水瓶里，还挺特别的，比普通豆腐花入味好吃。之后就没遇到过了。突然勾起了我的回忆。","优先平台检索"
"比肉都","1","1","","","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1nd4y1u7P8","130322654448","回复：素鸡和肉烧加糖才能让素鸡更好吃，比肉都好吃[doge]","优先平台检索"
"比他","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Z9NJ6vEPS","305656560433","他菜量少所以菜多，和他差不多价格的本地菜馆多了，比他好吃","优先平台检索"
"比它","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","39","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286201351841","福乐就是最传统的老店了，特点是开洋味浓，价格便宜的提前下品质比较好，比它价格便宜的没它好吃，比它好吃的肯定比它贵，加上市中心的位置，复古的售卖方式，算是比较有代表性且性价比很高的无锡特色小吃了，红汤辣用了一部分鲜椒，味道比较复合，酱油是老酱…","优先平台检索"
"比它价格","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","39","推荐／店名句式","B-存在明确推荐","BV1oP6mB4EuX","286201351841","福乐就是最传统的老店了，特点是开洋味浓，价格便宜的提前下品质比较好，比它价格便宜的没它好吃，比它好吃的肯定比它贵，加上市中心的位置，复古的售卖方式，算是比较有代表性且性价比很高的无锡特色小吃了，红汤辣用了一部分鲜椒，味道比较复合，酱油是老酱…","优先平台检索"
"比王兴记","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256343036657","熙盛源好吃，比王兴记好吃","优先平台检索"
"比熙盛源","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1cURwYnEum","256364155153","上海有勤德兴，比熙盛源好吃😋","优先平台检索"
"比现在放酱油的豆腐花","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1wi4y1z7oD","209391982784","以前无锡有专门在村上骑个车走街串巷卖的荤汤豆腐花，比现在放酱油的豆腐花好吃多了。","优先平台检索"
"比预制菜","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","246019097409","快手菜，肉是冷冻腌制好的，吃起来就特别嫩，比预制菜好吃一点，但还是比不了现做的","优先平台检索"
"表层酱很重焦脆","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","9","推荐／店名句式","B-存在明确推荐","BV1GgXNBiESt","296869818880","硬要说，厚，不腌制，表层酱很重焦脆好吃，里面软但是没味。我一般推荐肋排这种比较薄的","优先平台检索"
"表示无锡菜很","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195550145024","无锡人表示无锡菜很好吃啊","优先平台检索"
"表示只有无锡的小笼包是","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","2","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","198787038800","对！无锡人表示只有无锡的小笼包是好吃的！！[脱单doge][喜欢][喜欢][大笑][大笑]","优先平台检索"
"别的地方的都是咸口的不太","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245836794656","回复：也就微甜吧[笑哭]我从小吃到大感觉无锡小笼包味道正好，别的地方的都是咸口的不太好吃","优先平台检索"
"别人都说","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1e314YJEFA","245981927568","回复：大米先生？我们这边有个大碗先生，也是连锁店，别人都说好吃便宜，说什么保证多少分钟就能上菜，我一猜就知道应该是用了不少预制菜或者半成品。","优先平台检索"
"别信他们说的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","213143796592","是的，无锡人的口味很离谱 别信他们说的好吃的东西","优先平台检索"
"并且感觉菜品比南京的","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195544991264","去过无锡两天玩！感觉没有那么甜呀，并且感觉菜品比南京的好吃（个人口味），甜味确实能增鲜，适当的放糖菜还是蛮好吃的，有点类似于我们贵州的酸味，起到提起食欲的作用。我唯一吃到过把我甜的绷不住的，是在上海吃到的梅干菜烧肉（最后还是吃完了，挺下饭）…","优先平台检索"
"不比某些108的麻辣烫","1","1","","","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Wj411n7PD","201896197584","回复：也是 古镇大多都是外地游客 这碗面 不比某些108的麻辣烫好吃？[doge]","优先平台检索"
"不但","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","121","推荐／店名句式","B-存在明确推荐","BV1Ue4y1r7QE","132748563568","说无锡甜的，我就觉得很搞笑，你怎么不说四川辣，广东宣，就像吃咸鱼咸肉说太咸，臭豆腐太臭，这不是找茬吗？无锡是没有辣的饭店吗？没有清淡的，没有味道浓厚的吗？就一定要喷到把一个地方特色给改没了。做为一个土生土长瘪三的小无锡人，无锡美食已经消失了…","优先平台检索"
"不放糖烧不出","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","1","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","195624908304","回复：还有咸辣口这个口味啊，对于我这个无锡人来说，不放糖烧不出好吃的味道[doge]","优先平台检索"
"不敢想象现炸的会有多","1","1","","","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1KbygBJELh","282868181984","回复：我吃现在开的就已经很好吃了，不敢想象现炸的会有多好吃","优先平台检索"
"不管觉不觉得","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV15KSbYKEZS","245845316352","这么说，大多数其他地方的人（包括我这里的）吃无锡菜，一天只能吃一次，不管觉不觉得好吃。觉得好吃基本也会腻一段时间","优先平台检索"
"不管什么只要加上甜的就是","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196487762608","那我应该去无锡，不管什么只要加上甜的就是好吃，我爸按照我的口味儿被迫做了可乐鸭腿、可乐红烧肉、可乐排骨、还有可乐猪蹄，甚至咸口炒面也得加糖………[笑哭]","优先平台检索"
"不过不是很甜我觉得还挺","1","1","无锡市","无锡市","1","0","0","0","明确正向用餐体验","0","推荐／店名句式","B-存在明确推荐","BV1Nj41177WC","196575644032","回复：我也泰州的，泰州人民医院北院附近有家老凤城面馆，他家的鱼汤面鱼汤馄饨也是甜口的，不过不是很甜我觉得还挺好吃","优先平台检索"
